"","Address","longitude","latitude","Type1","Type2","Type3","Value","Icon"
"56","104 SULLIVAN STREET , New York",-74.003208,40.725844,"Rent","C1  -WALK-UP",NA,50.01,"Rent"
"57","104 WEST 70 STREET , New York",-73.9801351,40.7761017,"Rent","R4  -ELEVATOR",NA,51.69,"Rent"
"58","1040 LEXINGTON AVENUE , New York",-73.9611857,40.7720402,"Rent","R9  -CONDOPS",NA,48.73,"Rent"
"59","10430 EAST 12 STREET , New York",-73.9844695,40.7303971,"Rent","R4  -ELEVATOR",NA,45.38,"Rent"
"60","1049 5 AVENUE , New York",-73.9598154,40.7810879,"Rent","R4  -ELEVATOR",NA,56.86,"Rent"
"61","105 3 AVENUE , New York",-73.987633,40.7323562,"Rent","R4  -ELEVATOR",NA,46.225,"Rent"
"62","105 BENNETT AVENUE , New York",-73.9345528,40.853943,"Rent","R4  -ELEVATOR",NA,19.46,"Rent"
"63","105 DUANE STREET , New York",-74.0058893,40.7157785,"Rent","D6  -ELEVATOR",NA,66.04,"Rent"
"64","105 EAST 16 STREET , New York",-73.9885813,40.7358751,"Rent","R9  -CONDOPS",NA,36.12,"Rent"
"65","105 WEST 72 STREET , New York",-73.9791232,40.7777946,"Rent","R4  -ELEVATOR",NA,41.15,"Rent"
"66","105 WEST 77 STREET , New York",-73.9767357,40.7809659,"Rent","R2  -WALK-UP",NA,41.29,"Rent"
"67","106 CENTRAL PARK SOUTH , New York",-73.9768275,40.7657011,"Rent","R4  -ELEVATOR",NA,55.45,"Rent"
"68","106 CHARLES STREET , New York",-74.0056019,40.7343937,"Rent","C4  -WALK-UP",NA,48.17,"Rent"
"69","106 CONVENT AVENUE , New York",-73.9527208,40.8171165,"Rent","C1  -WALK-UP",NA,27.22,"Rent"
"70","106 WEST 116 STREET , New York",-73.9504707,40.802069,"Rent","R4  -ELEVATOR",NA,34.3,"Rent"
"71","106 WEST 117 STREET , New York",-73.9496212,40.8026999,"Rent","R9  -CONDOPS",NA,27.12,"Rent"
"72","1065 LEXINGTON AVENUE , New York",-73.9603894,40.7725092,"Rent","R9  -CONDOPS",NA,51.04,"Rent"
"73","1068 LEXINGTON AVENUE , New York",-73.9609311,40.7730225,"Rent","R9  -CONDOPS",NA,50.38,"Rent"
"74","107 AVENUE A , New York",-73.9839901,40.7260344,"Rent","R4  -ELEVATOR",NA,51.05,"Rent"
"75","107 EAST 31 STREET , New York",-73.9820502,40.7451877,"Rent","R4  -ELEVATOR",NA,54.71,"Rent"
"76","107 EAST 80 STREET , New York",-73.959152,40.776212,"Rent","D3  -ELEVATOR",NA,50.3366666666667,"Rent"
"77","107 EAST BROADWAY , New York",-73.9930138,40.7136041,"Rent","R4  -ELEVATOR",NA,72.41,"Rent"
"78","107 GREENE STREET , New York",-74.0000137,40.7247295,"Rent","R4  -ELEVATOR",NA,59.2,"Rent"
"79","107 ST MARKS PLACE , New York",-73.9840589,40.7272604,"Rent","D3  -ELEVATOR",NA,48.1016666666667,"Rent"
"80","107 WEST 68 STREET , New York",-73.9810287,40.7752296,"Rent","D1  -ELEVATOR",NA,47.173,"Rent"
"81","107 WEST 82 STREET , New York",-73.9745088,40.7842563,"Rent","R9  -CONDOPS",NA,44.13,"Rent"
"82","107 WEST 89 STREET , New York",-73.9714498,40.7888703,"Rent","R4  -ELEVATOR",NA,43.02,"Rent"
"83","107 WEST 97 STREET , New York",-73.9672214,40.7936342,"Rent","D3  -ELEVATOR",NA,30.87,"Rent"
"84","108 3 AVENUE , New York",-73.987867,40.732897,"Rent","R4  -ELEVATOR",NA,53.83,"Rent"
"85","108 5 AVENUE , New York",-73.9930806,40.7372469,"Rent","R4  -ELEVATOR",NA,47.91,"Rent"
"86","108 CHARLES STREET , New York",-74.0056912,40.7344494,"Rent","C4  -WALK-UP",NA,45.38,"Rent"
"87","108 DUANE STREET , New York",-74.006489,40.715448,"Rent","R4  -ELEVATOR",NA,48.81,"Rent"
"88","108 EAST 116 STREET , New York",-73.9428477,40.7988246,"Rent","RR  -CONRENT",NA,41.23,"Rent"
"89","108 EAST 81 STREET , New York",-73.9588281,40.7764536,"Rent","D3  -ELEVATOR",NA,52.1,"Rent"
"90","108 EAST 87 STREET , New York",-73.9562536,40.7804574,"Rent","R4  -ELEVATOR",NA,45.38,"Rent"
"91","108 EAST 96 STREET , New York",-73.9520091,40.7860718,"Rent","R9  -CONDOPS",NA,44.98,"Rent"
"92","108 HORATIO STREET , New York",-74.0090549,40.7386288,"Rent","D1  -ELEVATOR",NA,54.26,"Rent"
"93","108 WEST 111 STREET , New York",-73.953024,40.79901,"Rent","D1  -ELEVATOR",NA,29.5333333333333,"Rent"
"94","108 WEST 138 STREET , New York",-73.9403702,40.816203,"Rent","R4  -ELEVATOR",NA,31.92,"Rent"
"95","108 WEST 25 STREET , New York",-73.9924795,40.7442999,"Rent","R4  -ELEVATOR",NA,50.65,"Rent"
"96","108 WEST 56 STREET , New York",-73.9785493,40.7637655,"Rent","R4  -ELEVATOR",NA,46.69,"Rent"
"97","1080 MADISON AVENUE , New York",-73.9611663,40.7779148,"Rent","R4  -ELEVATOR",NA,44.23,"Rent"
"98","1081 3 AVENUE , New York",-73.9640628,40.7643504,"Rent","D6  -ELEVATOR",NA,40.8333333333333,"Rent"
"99","1082 MADISON AVENUE , New York",-73.9611704,40.7780439,"Rent","R9  -CONDOPS",NA,46.45,"Rent"
"100","1085 PARK AVENUE , New York",NA,NA,"Rent","D6  -ELEVATOR",NA,48.2340425531915,"Rent"
"101","109 EAST 73 STREET , New York",-73.9625475,40.77162,"Rent","D3  -ELEVATOR",NA,51.12,"Rent"
"102","11 2 AVENUE , New York",-73.9911924,40.7242098,"Rent","R9  -CONDOPS",NA,47.36,"Rent"
"103","11 EAST 36 STREET , New York",-73.9826127,40.7495809,"Rent","R4  -ELEVATOR",NA,46.2,"Rent"
"104","11 EAST 66 STREET , New York",-73.9687464,40.76845,"Rent","D3  -ELEVATOR",NA,43.1283333333333,"Rent"
"105","11 EAST 68 STREET , New York",-73.9676328,40.7694824,"Rent","R4  -ELEVATOR",NA,66.6,"Rent"
"106","11 MONROE STREET , New York",-73.9960189,40.7115984,"Rent","RR  -CONRENT",NA,51.15,"Rent"
"107","11 PRINCE STREET , New York",-73.993836,40.722826,"Rent","R4  -ELEVATOR",NA,35.16,"Rent"
"108","110 BANK STREET , New York",-74.0073,40.736131,"Rent","D1  -ELEVATOR",NA,47.8425,"Rent"
"109","110 EAST 116 STREET , New York",-73.9427558,40.7988116,"Rent","RR  -CONRENT",NA,47.76,"Rent"
"110","110 EAST 13 STREET , New York",-73.9893618,40.7330516,"Rent","D5  -ELEVATOR",NA,45.38,"Rent"
"111","110 EAST 71 STREET , New York",-73.9638791,40.7700346,"Rent","R4  -ELEVATOR",NA,53.79,"Rent"
"112","110 EAST 84 STREET , New York",-73.9575424,40.7783924,"Rent","D1  -ELEVATOR",NA,51.81,"Rent"
"113","110 GREENWICH STREET , New York",-74.0135557,40.7086761,"Rent","D8  -ELEVATOR",NA,41.425,"Rent"
